Avg Deaths Per Year,County,Demographic clusters,Demoraphic cluster (5),Mortality Group,State,TARGET deathRate (bin),Avg Ann Count,Avg Household Size,Birth Rate,Incidence Rate,Med Income,Median Age,Median Age Female,Median Age Male,Pct Asian,Pct Black,Pct Emp Priv Coverage,Pct Married Households,Pct Other Race,Pct Private Coverage,Pct Private Coverage Alone,Pct Public Coverage,Pct Public Coverage Alone,Pct White,PctBachDeg18 24,PctBachDeg25 Over,PctEmployed16 Over,PctHS18 24,PctHS25 Over,PctNoHS18 24,PctSomeCol18 24,PctUnemployed16 Over,Percent Married,popEst2015,Poverty Percent,Study Per Cap,TARGET deathRate
70,Riley County,Cluster 2,Cluster 2,0,Kansas,150,1962.667684,2.49,4.808994852,453.5494221,46468,24.7,25.3,24.5,4.509343926,6.552744528,50.6,43.09139683,1.111673909,85.4,73.2,16.4,6.5,83.26091013,8.3,24.1,54.5,20.3,17.4,2.5,,5.8,39.1,75247,20.2,252.5017609,154.3
193,Brazos County,Cluster 1,Cluster 2,0,Texas,150,545,2.58,4.690848607,424.7,41641,25.2,25.8,24.6,5.738755109,10.75212768,50.7,39.40534539,6.531853014,72.6,62.3,19.8,11.2,73.92520132,12,20.8,58.7,12.5,20.4,5.3,70.3,6.4,37.4,215037,26.4,51.15398745,151.8
9,Northwest Arctic Borough,Cluster 4,Cluster 2,1,Alaska,190,20,3.97,12.39291833,373.5,65192,26.1,25.8,26.4,0.763062597,0.323331609,26.8,44.92905938,0.581996896,33.4,27.3,39.1,31.5,12.27366787,1.8,6.9,49.4,56.4,43.6,28.2,,21.9,37.2,7752,23.2,0,199.3
56,Oktibbeha County,Cluster 2,Cluster 4,0,Mississippi,140,160,2.51,3.389715373,425.4,34429,25,26,24,3.001141739,37.11670201,51.2,36.08648401,0.491355407,70,59.2,26.3,14.3,58.32653727,7.5,21.7,47.3,10.3,19.3,3.9,,13.3,33,49800,29.9,100.4016064,147.8
105,Isabella County,Cluster 1,Cluster 2,1,Michigan,180,260,2.61,3.814938787,446.7,42431,26.3,26.1,26.3,1.693811997,2.585291995,51.3,40.69583553,0.305650285,72.6,58.7,27.1,14.2,88.56075507,5.6,15.5,55.9,17,31.8,5.1,72.3,11.3,34.9,70698,28.3,99.01270192,180.1
20,Bethel Census Area,Cluster 4,Cluster 2,1,Alaska,210,37,3.86,9.156279962,338.2,45808,26.7,26.5,27,1.175742574,0.798829883,25.1,45.52139037,0.343159316,35.2,25.8,47.3,36.1,12.01620162,2,7.6,51.7,40.5,43.6,41.3,,17.6,39,17946,23.8,0,218.8
45,Brookings County,Cluster 2,Cluster 2,0,South Dakota,160,110,2.38,4.882440161,415.4,52930,26.4,26.6,26.3,2.868728439,1.295164316,56.1,45.44421907,0.602190885,81.2,,20.1,9.7,92.73739636,9.3,27.4,69.5,17.3,26.1,1.7,71.8,3.1,42.2,33897,14.1,0,162.6
141,Clarke County,Cluster 1,Cluster 4,0,Georgia,160,396,2.55,3.333416627,461.8,31487,26.5,26.7,26.2,4.402630164,26.55804144,45.9,31.61961436,2.042926264,67.1,56.6,24.7,14.5,64.70700136,13.2,20.2,52.9,20.3,21.8,4.8,,9.2,29.9,123912,37.8,500.3550907,161.9
48,Geary County,Cluster 4,Cluster 2,1,Kansas,210,1962.667684,2.83,8.981723238,453.5494221,41193,26.2,27,25.5,3.177753011,16.59009976,22.9,56.04024208,1.356457444,76.1,60.3,25.1,12.6,70.09813249,4.8,13.7,48.8,43.3,29.8,8,43.9,9.2,59.5,37030,13.9,0,213.6
36,Albany County,Cluster 2,Cluster 2,0,Wyoming,120,114,2.26,4.074920055,397.6,42838,26.6,27,26.1,3.069346466,1.280447225,58,39.24786107,2.611473446,79.8,69.4,19,9.1,89.4875549,9.9,27.7,64.5,14.7,17,1.4,,4.7,39.8,37956,24,0,128.4
17,Nome Census Area,Cluster 4,Cluster 2,1,Alaska,270,34,3.26,11.35038134,499.3,47160,27.8,27.3,28.4,1.207631419,0.730667749,27.4,38.32478632,0.142074285,35.8,28.2,42.4,33.7,17.45484067,1,10.3,53.4,52.1,41.3,24.1,,16.5,35.9,9846,26.1,0,277.6
117,Story County,Cluster 2,Cluster 2,0,Iowa,150,340,2.35,3.565762635,451.8,52128,25.9,27.7,24.8,6.55226209,2.429850619,62.5,44.69791928,0.338725878,86.7,73.3,18.7,7.8,88.01957558,12.1,27.3,63.9,11.4,18.8,1.6,,5.5,41.5,96021,19.5,1614.23022,152.5
101,Bulloch County,Cluster 1,Cluster 4,1,Georgia,180,236,2.54,3.911889349,418.9,36315,26.3,27.9,25.5,1.760008841,28.4350565,48.6,41.05174525,1.601138342,66.3,,25,15.7,65.92020556,6.6,16.9,52.5,12.9,28,4.2,76.2,9.1,38.1,72651,31.4,27.5288709,184.2
43,Adair County,Cluster 2,Cluster 2,0,Missouri,160,105,2.36,3.767349636,420.1,35425,27.9,27.9,27.8,2.386541471,2.0657277,50.6,43.06175402,0.19170579,73.9,59.6,27.4,13.2,93.52895149,11.1,15.2,51.8,12.9,33.9,4.5,,7.9,39.1,25378,26.9,0,162.6
119,Payne County,Cluster 2,Cluster 2,1,Oklahoma,170,295,2.36,5.395731735,449.8,41037,27.2,28,26.6,4.18392657,3.725621042,45.3,42.72642886,0.492300719,70.8,58.2,26,14.1,80.74235423,9.5,21.1,56,18.7,27.4,5.1,66.7,6.3,41.1,80850,23.7,86.58008658,177.4
43,Nodaway County,Cluster 2,Cluster 2,0,Missouri,160,98,2.28,3.648198607,425,42956,28.3,28.2,28.4,1.578538773,2.859484171,48.3,45.20152443,0.047442422,74,,26.8,13.3,94.11282671,6.1,14,,19.6,41.2,3.5,70.8,7.2,42.4,22810,20.2,0,168.8
48,Iron County,Cluster 4,Cluster 2,0,Utah,130,156,3.07,9.572250479,418,43615,28.1,28.3,27.8,0.706421434,0.659750949,43.5,58.66180855,2.100171832,63.8,51.6,28.1,15.6,91.07108763,3.5,18.7,56.3,24.8,24.7,14.9,,10.5,54.2,48368,22.1,310.122395,131.1
6,Sioux County,Cluster 4,Cluster 2,1,North Dakota,250,15,3.93,8.229665072,481.1,33950,27,28.4,25.3,0.159817352,0.0456621,24.7,31.69398907,0.159817352,36.8,29.4,39.7,31.8,14.08675799,1.7,13.5,,28.2,31.8,27.7,42.4,20.3,27.2,4370,33.6,0,259.1
7,Dillingham Census Area,Cluster 4,Cluster 2,1,Alaska,210,16,3.56,11.80124224,409.2,51082,29.7,28.5,31,1.446073509,0.341434023,28.6,46.47887324,0.482024503,36.8,29.1,41.2,30.2,18.7186182,2.3,10.9,51.9,51.9,38.1,21.6,,12.5,40.7,4997,17.5,0,216.6
90,Lincoln Parish,Cluster 1,Cluster 4,1,Louisiana,200,188,2.56,4.279213153,436.3,32889,27.4,28.6,26.2,1.790956514,40.89843503,45.7,37.25318889,1.055988511,63.4,51.5,30.3,17.9,54.36228854,15.1,20.8,53.3,14.7,27.7,12.4,57.8,11.9,35,47774,29.7,0,205.7
105,Athens County,Cluster 2,Cluster 2,1,Ohio,190,271,2.47,2.52476505,489.6,34216,28,28.6,27.5,3.336719303,2.328623757,51.4,40.43404785,0.333979746,70.6,58.6,31.3,18.6,91.04257087,7,13.9,47.7,15.7,32.3,2.3,,10.9,35.1,65886,29.9,15.17773123,192.1
12,North Slope Borough,Cluster 4,Cluster 1,1,Alaska,250,26,3.28,10.6333527,501.1,75682,33.9,28.7,36,5.327402503,0.662046136,54.1,38.0733945,1.851660288,64.1,55.6,20.2,12.4,32.9678287,3.5,10.4,73.4,52,36.8,16.1,,9.3,46.7,9687,11.5,103.2311345,256.9
86,Franklin County,Cluster 4,Cluster 2,0,Washington,160,230,3.4,8.388253538,420.9,55006,29.1,28.8,29.5,2.112374628,2.05800354,37.5,53.35894843,22.32569439,52.7,,36.3,26.1,69.82983006,2.7,10.5,60.2,38,27.3,28.9,30.4,7.2,49.2,88807,17.3,0,163.5
9,La Salle County,Cluster 4,Cluster 2,0,Texas,130,21,3.19,11.31436314,307.1,38012,31.7,28.8,33.4,0,1.001251564,21.1,49.9238965,17.78612154,41.2,23.4,41.8,27.5,80.00278125,1.8,10.1,42.9,34,32.7,28.5,,8.1,47,7631,28.1,0,135.7
65,Liberty County,Cluster 3,Cluster 4,1,Georgia,170,185,2.72,9.713596623,425.5,41682,27.6,28.9,26.5,2.211805609,40.49389231,20.5,51.98099638,4.172163844,69.5,43.6,26.4,14.9,48.08232573,2.7,12.7,48.9,45.3,31.5,10.7,,12.9,54.1,62467,17.2,0,170.3
206,Onslow County,Cluster 3,Cluster 2,1,North Carolina,170,588,2.75,9.215177413,477.5,47201,26.1,29,24.6,1.822011069,15.50722981,19,55.8526976,2.663357877,73.1,53.3,26.8,12.7,74.33184764,3.6,13.5,43.6,45.5,28.9,7.6,,11.6,54.5,186311,14.3,203.9600453,179.9
205,Monroe County,Cluster 2,Cluster 2,0,Indiana,160,507,2.36,3.932688732,428.7,43841,28.4,29.3,27.6,6.131148001,2.928288531,54.1,38.45841411,0.766832392,76.6,64.6,21.6,11,86.84657734,13.4,22.3,57.3,17.5,22.3,3.9,65.2,6.9,36,144705,24,69.10611244,168.5
70,Lafayette County,Cluster 1,Cluster 2,0,Mississippi,160,180,2.65,4.979333506,441.6,40797,28.5,29.3,28.1,1.932810882,24.02235729,47.3,40.60228453,0.570658016,73.5,,25.1,13.6,71.99867107,8.7,21.7,52.8,16.1,20.9,4.3,,8.4,36.3,53154,25.9,112.8795575,168.3
10,Dewey County,Cluster 4,Cluster 2,1,South Dakota,220,25,3.36,6.625097428,555.7,34936,349.2,29.3,28.9,0,0.035848718,18.4,36.82926829,0.035848718,29.6,,39.6,32.9,21.72432336,0.9,9.1,,35.5,35.4,35.2,,24.6,34.6,5685,27.2,0,229.8
39,Fredericksburg city,Cluster 2,Cluster 2,1,Virginia,180,120,2.46,4.269052202,566.3,51195,29.4,29.3,29.5,2.47490418,23.29987224,49.1,34.21626984,3.668552656,71.3,57.9,24.4,13.6,65.63971528,12.3,21.2,60.4,24.6,26.9,2.6,,8.9,33.7,28118,16.8,1280.318657,180.3
23,Gaines County,Cluster 4,Cluster 2,0,Texas,160,47,3.35,6.114037096,331.1,50709,28.9,29.4,28.6,0.502220343,1.844998943,33.6,64.82635797,4.329668006,45.4,38.5,26.1,18.6,91.430535,2.9,8.5,60.9,57.6,27.9,21.2,,4,60.6,20051,14,0,164.8
120,Montgomery County,Cluster 2,Cluster 2,0,Virginia,150,309,2.48,3.135414054,396.2,43484,27.5,29.6,26.2,6.119191019,4.348637358,58.2,43.44441603,0.910155805,82.4,70.1,19.9,8.7,86.72084754,13.7,23.2,55,11.3,21.8,2.7,72.3,5.6,39.1,97653,24.8,256.00852,153.3
243,Webb County,Cluster 4,Cluster 2,0,Texas,130,595,3.73,6.921416298,332.2,37935,28.3,29.6,26.8,0.587652089,0.393920631,26.4,52.84922777,3.873869425,36,30.5,36.3,28.6,94.19527371,4.3,11.9,54.3,32.4,24.4,20.8,,6,46.6,269721,32.3,44.49041788,139.1
29,Seward County,Cluster 4,Cluster 2,0,Kansas,160,1962.667684,3.05,6.872294372,453.5494221,47381,29.4,29.6,29.2,2.947495059,3.746670104,49,46.64438503,29.93039443,61.5,53.1,26,17.2,59.37956518,2.7,8.5,66.2,23.7,24.8,25.7,,9,47.7,23152,15.7,2850.725639,164.4
65,Pulaski County,Cluster 1,Cluster 2,1,Missouri,190,182,2.84,5.283078379,521.6,47227,26.8,29.7,25,2.808599817,12.15687742,16.3,51.86264982,3.141664951,72.3,54.5,27.6,12.9,74.81990158,3.6,15.8,36.1,45.2,31.3,4.8,46.4,12.7,45,53221,15.9,0,196
243,Tippecanoe County,Cluster 2,Cluster 2,0,Indiana,160,641,2.46,5.208228801,452.2,46276,27.9,29.7,26.6,7.203015164,4.4575357,54.5,42.16600744,0.977054689,75.1,64.1,22,11.9,85.01149476,11.9,19.8,58.7,23.3,26.6,4.9,,6.5,40.8,185826,22.1,349.7895881,169.1
138,Douglas County,Cluster 2,Cluster 2,0,Kansas,150,1962.667684,2.43,4.146877226,453.5494221,49246,28.8,29.7,28,4.407351675,3.999408526,55.3,41.84408516,0.607130742,79.3,66.9,19.6,8.7,84.29288405,13.9,26.3,,13.1,20,2.8,,6,39.5,118053,19.4,660.720185,153.7
5,Jackson County,Cluster 4,Cluster 2,0,South Dakota,140,10,3.05,12.14574899,296.6,31922,30.5,29.7,31.8,0.494284832,0.15446401,23.7,49.90310078,1.112140871,43.7,32.7,43.4,30.3,45.2888477,6.3,14.3,51.3,28.2,32.2,44.9,,17.4,47.1,3321,33.9,0,148.3
50,Latah County,Cluster 2,Cluster 2,0,Idaho,140,134,2.33,4.020530368,395.9,43482,28.5,29.9,27.6,2.253579906,0.654685829,52.6,46.33289125,0.550353426,80.5,67.5,21.5,9,93.00190407,11.8,27.8,58.6,15.2,19.8,2.9,,7.6,45.5,38778,19.9,0,148.9
21,Adams County,Cluster 4,Cluster 2,0,Washington,130,54,3.24,9.861143799,340.3,47423,28.9,29.9,28.3,0.906661076,0.204391803,30.5,58.13512582,28.13793826,45,35.8,40,30.5,67.56983387,1.6,9.1,58.7,36.9,25.9,36.5,,9.6,56.9,19254,19,0,135.7
39,Sanpete County,Not Clustered,Cluster 2,0,Utah,150,97,0.0313,5.587610082,383.8,44644,30.5,29.9,30.8,0.84922685,0.845688405,48.1,67.19123757,5.629666325,69.4,55.4,27.1,12.9,89.79512402,3.1,12.7,47,24.1,27,15.2,,8.3,54,28778,17.1,0,156.7
64,Waller County,Cluster 1,Cluster 2,0,Texas,160,145,2.94,4.760740197,375.6,50589,29.1,30,28.3,0.7721334,25.36480031,39.4,54.39477649,1.98050036,55.9,45.5,28.8,19.3,68.98379392,1.1,13.7,55.6,25.2,31.4,9.6,,8.3,44.8,48656,16.1,0,163.1
6,Bennett County,Cluster 4,Cluster 2,1,South Dakota,170,13,3.24,5.882352941,399,34326,29.4,30,29,0,0.959860384,19.7,41.80952381,0,36.6,27.9,48.8,36.4,31.29726585,0.6,14.4,48.7,17.2,28.8,58.2,,14.7,41,3423,34.8,0,170
35,Uintah County,Cluster 4,Cluster 1,0,Utah,130,97,3.22,9.686539644,365.5,65489,29.7,30,29.3,0.447915792,0.596287898,53.7,60.49540115,1.198174743,72,60.4,21.1,10.2,87.81389099,4.6,11.8,61.7,49.3,34.7,15.6,,5.1,57.2,37928,9.6,0,133.2
25,Duchesne County,Cluster 4,Cluster 1,0,Utah,150,73,2.94,10.01338091,448.1,61976,30.2,30,30.5,0.499571075,0.171569864,56.9,65.75840145,1.745975677,73.1,62.6,19.9,9.4,91.01781299,1.5,11,57.3,42.1,36,25.7,,5.2,65,20862,11.6,0,155.5
763,Hidalgo County,Cluster 4,Cluster 2,0,Texas,120,2092,3.62,6.82588583,341,34368,28.8,30.1,27.4,1.041848497,0.620104319,22.9,56.33534356,5.804689112,32.6,,37.3,28.2,91.40972416,5.1,11.9,52.2,29,23.2,22.3,,9.9,51,842304,33.5,42.73991338,123
7,Corson County,Cluster 4,Cluster 2,1,South Dakota,190,14,3.37,9.343715239,379.3,31420,29.8,30.1,29.7,0.28922632,0.28922632,16.8,43.69406021,0.361532899,32,24.7,51.4,41.4,30.99542058,2.8,12.7,43.2,30.3,34.4,50.1,,29.4,39.9,4197,38.6,238.2654277,195.9
7,Crowley County,Cluster 4,Cluster 2,0,Colorado,110,22,3.78,10.31111111,389.1,32570,35.5,30.1,38.6,0.378310214,5.260313457,27.2,47.21984602,5.854800937,44.7,33.8,52.9,37.2,84.03891191,5.7,7.8,32.7,31.6,39.1,17.3,45.4,27,30.9,5562,40.5,0,110.7
14,Thurston County,Cluster 4,Cluster 2,1,Nebraska,210,30,3.3,8.467741935,453.6,41344,28.6,30.3,27.5,0.56147423,0.100777426,26.1,41.69865643,0.388712928,39.9,31.5,39.1,28.4,41.41952203,3,9.2,,32.9,35.5,30.2,,14.4,40.9,7064,34,0,215
60,Charlottesville city,Not Clustered,Cluster 2,1,Virginia,170,250,0.0239,2.753790712,718.9,45890,29.8,30.3,29.3,6.663117736,19.23742348,52.9,30.49233889,0.310531452,76.1,67.1,20.3,11.9,70.72797445,18,23.3,60.6,22.2,22.2,4.9,,4.3,30.1,46597,25.9,364.8303539,178.2
165,Lynchburg city,Cluster 2,Cluster 2,1,Virginia,190,391,2.37,5.96087761,495,40065,28.7,30.4,27,2.844238594,28.4436654,45.1,37.78393158,0.7497633,69.1,54.9,30.4,16.3,65.07075411,10.7,19.9,53.1,21.9,25.1,5.4,,8,35.6,79812,25,388.41277,194.5
167,Lowndes County,Cluster 1,Cluster 4,1,Georgia,180,457,2.78,6.143722718,485,38887,29.4,30.4,28.4,1.741119935,36.12801781,33.8,42.70748576,1.628048727,58.5,45.8,31.5,19.3,57.79175464,5.4,14.2,51.8,25.7,28.3,13.9,55,13,40.6,112865,24.5,70.88114119,180.9
24,Alamosa County,Cluster 1,Cluster 2,0,Colorado,160,62,2.56,4.898266767,416.8,38140,30.1,30.4,29.4,1.776384535,1.862437765,37.7,45.68442347,4.59155449,53.6,41.3,44.4,28.6,87.0305489,6.1,14.3,49.9,23.4,25.9,8.8,,10.4,45.1,16496,22.5,181.8622696,165.7
163,Johnson County,Cluster 2,Cluster 1,0,Iowa,150,511,2.37,4.117879551,473.8,59946,29.8,30.4,29.5,5.971915431,5.447660575,60.6,42.80662505,1.948564216,81.2,,20.9,10.4,84.14684873,15,27.4,69,18.2,17.1,4.1,62.7,3.5,43.4,144251,15.9,1310.21622,156.2
163,Kings County,Cluster 4,Cluster 2,0,California,140,479,3.19,6.638754179,409.3,44490,31.4,30.4,32.2,3.709982914,6.223261235,36.6,50.93372479,15.65384972,55.9,45.5,37.6,25.7,68.40421727,3.3,9.7,,30.7,24.8,20.3,45.7,13,44.3,150965,24.9,0,147.7
101,Walker County,Cluster 2,Cluster 2,0,Texas,160,302,2.37,3.854536397,472.7,39984,35,30.5,36.8,1.17842204,22.69580268,50.6,43.43727339,1.370258185,69.8,57.1,25.7,12.8,73.29294678,6.7,13.1,37.8,19.8,35.8,9.3,,4.4,38.5,70699,26.3,0,164.6
116,Nacogdoches County,Cluster 1,Cluster 2,1,Texas,180,273,2.52,4.912890034,443.5,38895,30.2,30.6,29.5,1.599243106,18.33635989,34,44.56630944,2.067723673,58.2,45.5,29.3,17.2,76.16090095,5.1,15,53.6,16.4,28.1,9.1,,8.6,43.9,65664,22.7,0,185.9
48,Kleberg County,Cluster 1,Cluster 2,0,Texas,160,130,2.76,5.244100387,445.2,40884,28,30.7,26.6,2.020044335,4.052577352,39.3,42.6645883,6.160042462,56.6,44.2,31.5,18.7,85.75665803,11.9,16.9,53.6,12.2,22.1,13.8,,11.7,40.2,31857,22.8,0,164.1
267,Champaign County,Cluster 2,Cluster 2,0,Illinois,150,781,2.38,3.467190704,450.2,47966,29.3,30.7,28.2,9.985128738,12.5880855,54.5,39.72870157,0.978295734,77.3,65.5,24.6,13.5,73.38384378,14.3,22.3,59.6,14.3,22.8,4.3,,6.5,39.3,208861,22.6,588.9084128,152.5
99,Grand Forks County,Cluster 2,Cluster 2,0,North Dakota,160,277,2.25,5.407811283,462.5,50435,29.4,30.7,28.5,2.349990577,2.487713652,55.5,43.85891098,0.775598371,81.1,66.2,22.5,10,88.99665115,10.5,21.4,67,19.2,24.7,3,,3.6,45.7,70916,16.7,338.4285634,162.5
369,Leon County,Cluster 2,Cluster 4,0,Florida,150,950,2.43,3.782242355,390.5,45463,30,30.7,29.1,3.224358521,31.12709408,52.2,37.82864464,0.866968262,74,61.8,24.1,12.8,62.22626705,12.9,25.3,59.7,15.4,19,6.7,,10.6,37.8,286272,23.3,38.42499441,155.8
6,Upton County,Cluster 3,Cluster 1,0,Texas,160,12,2.75,10.47120419,313,55918,31.9,30.7,33.5,0,4.552129222,44,58.66885785,35.00734214,57,45.7,27.4,15.8,57.88546256,2.8,6.7,54.3,44.5,39.4,20.8,,4.3,60.6,3651,14.3,0,166.7
70,Starr County,Cluster 4,Cluster 2,0,Texas,130,185,3.84,5.949245101,356.3,26699,29.1,30.8,27.6,0.146852254,0.057463925,17.2,54.15298854,4.186885455,23.4,,42.2,31.2,94.92561614,3.9,6.6,47.6,32.5,22.2,24,,13.8,47.3,63795,35.4,0,136.5
32,Roosevelt County,Cluster 1,Cluster 2,0,New Mexico,160,68,2.62,4.392712551,360.7,36108,29.4,30.8,28,0.562587904,2.496483826,32.4,45.45454545,19.02752662,54.7,41.4,40,25.2,73.5583685,4.9,12.8,53.1,12.8,25.3,12.2,,9.7,45.1,19120,24,0,163.5
229,Boone County,Cluster 2,Cluster 2,0,Missouri,160,639,2.41,5.073280722,459.7,50305,30.1,30.8,29.6,4.049891667,8.444691691,55.4,44.31173485,0.778239738,80.4,64.4,20.6,9.9,82.06769339,17.1,26.8,65.3,13.2,20.2,3.9,,5,43.8,174974,19.5,200.0297187,166.2
59,Tooele County,Cluster 4,Cluster 1,0,Utah,140,208,3.25,6.916426513,489.9,64193,30.7,30.8,30.5,0.86709474,0.605980983,65.6,64.90258172,3.289376447,80.7,70.3,17.9,8,91.74946217,2.3,16.8,62.8,43.7,32.1,16.7,,7.1,59.4,62952,8.1,0,146.7
13,Zapata County,Cluster 4,Cluster 2,0,Texas,110,41,3.16,9.67556704,340.9,33291,29.2,30.9,27,0,1.125244618,26.6,54.54947974,1.691361476,34.4,27.5,37.5,29.1,97.18339391,0,5.3,52.1,36.3,26,31.1,,12.2,52.3,14374,32.6,0,112.5
268,Davis County,Cluster 4,Cluster 1,0,Utah,110,1009,3.29,7.253229221,428.8,70797,30.2,30.9,29.4,1.933983561,1.215311064,61.4,68.10336023,3.030546674,81.5,70.2,18.8,9,89.65284779,4.7,24.1,65.5,34.6,21.2,14.2,,4.2,61.4,336043,7.2,5.951619287,119.3
564,Tulare County,Cluster 4,Cluster 2,0,California,150,1436,3.36,6.825864335,391.5,42360,30.3,30.9,29.6,3.397770647,1.728068224,31.6,52.4099723,9.105505547,43.1,35.2,46.3,35,80.86791048,3.3,9.5,52.5,33.5,25.2,21.1,,12,47.5,459863,28.1,0,155.2
155,DeKalb County,Cluster 1,Cluster 1,1,Illinois,170,437,2.65,4.533178353,485.5,56536,30.3,30.9,29.9,2.444774546,6.914562269,51.9,45.12060962,4.381618669,73.3,,27,16,83.73185107,10.6,18.6,61.7,20.4,26.3,5.6,,10.4,41.4,104352,14.7,19.16590003,171.7
12,Benson County,Cluster 4,Cluster 2,0,North Dakota,160,32,2.97,9.492753623,462.9,39342,31,30.9,31.2,0.073594348,0,30.4,42.4122807,0.647630262,47.6,38.1,42.4,30.8,42.71415955,6.2,10.8,52.3,36.4,32.5,21.9,35.6,6.1,41.4,6753,29.9,0,169.9
19,Roosevelt County,Cluster 4,Cluster 2,1,Montana,180,53,3.54,6.547122602,509.5,37511,30.4,31,28,0.18966763,0.081286127,27.7,42.40940255,0.632225434,39.6,32.5,38.6,29.9,36.96712428,1.8,10,45.5,41.8,38.8,29.9,26.5,6.8,38.7,11476,23.8,0,182.6
26,Rolette County,Cluster 4,Cluster 2,1,North Dakota,210,61,3,6.726726727,474.1,35630,30.3,31,28.9,0.255207615,0.538005242,26.9,37.72517805,0.186232584,35.8,,36.9,29.2,20.06483653,2.3,16.1,48.9,25,21.8,22.5,,4.8,38.8,14649,31.6,0,216.9
100,Blue Earth County,Cluster 2,Cluster 2,0,Minnesota,150,1962.667684,2.46,4.61118069,453.5494221,49513,30.1,31,29.3,2.031477927,3.107869482,56.3,46.2430072,0.42840691,79.5,65.7,26.5,13,92.06909789,7,21.6,68,15.9,28.1,3.1,,4.9,43.6,65787,17.9,45.60171462,151.9
343,Merced County,Cluster 4,Cluster 2,0,California,160,877,3.32,6.393691516,415.9,43818,30.4,31,29.6,7.542679576,3.418155636,33.2,50.89713227,22.65191277,48,38.4,44.4,32.3,61.17475415,3.6,8.7,49.8,29,24.8,13.8,53.5,16.2,45.8,268455,24.8,29.80015273,162.9
